date,new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,population,cases_per_million,deaths_per_million,tests_per_million
2020-08-12,412.0,6.0,27330.0,251682.5,35215.0,3421717.0,60461828.0,4162.667724832931,582.4335976080644,582.4335976080644
2020-08-13,476.0,10.0,25629.0,252158.5,35225.0,3447346.0,60461828.0,4170.540460668837,582.5989912180625,582.5989912180625
2020-08-14,522.0,6.0,24868.0,252680.5,35231.0,3472214.0,60461828.0,4179.174007110734,582.6982273840613,582.6982273840613
2020-08-15,574.0,3.0,25937.0,253254.5,35234.0,3498151.0,60461828.0,4188.667600324621,582.7478454670606,582.7478454670606
2020-08-16,629.0,158.0,22470.0,253883.5,35392.0,3520621.0,60461828.0,4199.0708583934975,585.3610645050295,585.3610645050295
2020-08-17,477.0,4.0,21379.0,254360.5,35396.0,3542000.0,60461828.0,4206.9601335904035,585.4272219490288,585.4272219490288
2020-08-18,320.0,4.0,32687.0,254680.5,35400.0,3574687.0,60461828.0,4212.252729110341,585.4933793930279,585.4933793930279
2020-08-19,401.0,5.0,41290.0,255081.5,35405.0,3615977.0,60461828.0,4218.885012871261,585.576076198027,585.576076198027
2020-08-20,642.0,7.0,49662.0,255723.5,35412.0,3665639.0,60461828.0,4229.503282633135,585.6918517250256,585.6918517250256
2020-08-21,840.0,6.0,44943.0,256563.5,35418.0,3710582.0,60461828.0,4243.3963458729695,585.7910878910244,585.7910878910244
2020-08-22,947.0,9.0,46613.0,257510.5,35427.0,3757195.0,60461828.0,4259.059120739783,585.9399421400226,585.9399421400226
2020-08-23,1071.0,3.0,47463.0,258581.5,35430.0,3804658.0,60461828.0,4276.7727763705725,585.9895602230221,585.9895602230221
2020-08-24,1209.0,7.0,33358.0,259790.5,35437.0,3838016.0,60461828.0,4296.768863819334,586.1053357500207,586.1053357500207
2020-08-25,953.0,4.0,45798.0,260743.5,35441.0,3883814.0,60461828.0,4312.530874852147,586.1714931940198,586.1714931940198
2020-08-26,876.0,4.0,58054.0,261619.5,35445.0,3941868.0,60461828.0,4327.019355087974,586.2376506380191,586.2376506380191
2020-08-27,1366.0,13.0,57640.0,262985.5,35458.0,3999508.0,60461828.0,4349.612122213704,586.4526623310165,586.4526623310165
2020-08-28,1409.0,5.0,65135.0,264394.5,35463.0,4064643.0,60461828.0,4372.916081862428,586.5353591360156,586.5353591360156
2020-08-29,1460.0,9.0,64294.0,265854.5,35472.0,4128937.0,60461828.0,4397.0635489221395,586.6842133850138,586.6842133850138
2020-08-30,1444.0,1.0,53541.0,267298.5,35473.0,4182478.0,60461828.0,4420.946386205856,586.7007527460136,586.7007527460136
2020-08-31,1365.0,4.0,42583.0,268663.5,35477.0,4225061.0,60461828.0,4443.5226139705865,586.7669101900128,586.7669101900128
2020-09-01,996.0,6.0,54395.0,269659.5,35483.0,4279456.0,60461828.0,4459.99581752639,586.8661463560117,586.8661463560117
2020-09-02,975.0,8.0,,270634.5,35491.0,,60461828.0,4476.121694501198,586.9984612440101,586.9984612440101
2020-09-03,1326.0,6.0,,271960.5,35497.0,,60461828.0,4498.052887186937,587.0976974100089,587.0976974100089
